comp,season,matchid,minute,extraTime,goaltype,team.id,team.name,scorer.id,scorer.name,assist.id,assist.name
CL,2019,269488,75,,REGULAR,732,Celtic FC,15620,Callum McGregor,34495,Ryan Christie
CL,2019,269517,67,,REGULAR,755,GNK Dinamo Zagreb,73401,Mislav Oršić,23144,Izet Hajrović
CL,2019,269517,78,,PENALTY,755,GNK Dinamo Zagreb,2174,Bruno Petković,,
CL,2019,269511,14,,REGULAR,674,PSV,9553,Bruma,7457,Donyell Malen
CL,2019,269511,45,1,REGULAR,729,FC Basel 1893,16063,Albian Ajeti,16049,Luca Zuffi
CL,2019,269511,79,,REGULAR,729,FC Basel 1893,46491,Omar Alderete,16049,Luca Zuffi
CL,2019,269511,89,,REGULAR,674,PSV,7455,Sam Lammers,7453,Steven Bergwijn
CL,2019,269511,90,3,REGULAR,674,PSV,7457,Donyell Malen,39298,Érick Gutiérrez
CL,2019,269513,18,,REGULAR,1876,FC København,15516,Pieros Sotiriou,24225,Karlo Bartolec
CL,2019,269513,61,,PENALTY,1876,FC København,10195,Robert Skov,,
CL,2019,269515,42,,PENALTY,752,APOEL FC,60463,Tomás De Vincenti,,
CL,2019,278362,5,,PENALTY,748,FK BATE Borisov,15416,Ihar Stasevich,,
CL,2019,278362,25,,REGULAR,889,Rosenborg BK,15549,Anders Konradsen,15555,Vegar Eggen Hedenstad
CL,2019,278362,51,,REGULAR,748,FK BATE Borisov,16089,Maksim Skavysh,15416,Ihar Stasevich
CL,2019,278128,36,,PENALTY,5954,Ferencvárosi TC,15307,Davide Lanzafame,,
CL,2019,278128,19,,OWN,5813,Valletta FC,67570,Henry Bonello,,
CL,2019,278128,59,,REGULAR,5954,Ferencvárosi TC,15307,Davide Lanzafame,16486,Oleksandr Zubkov
CL,2019,278128,85,,REGULAR,5813,Valletta FC,122590,Yuri,67599,Mario Fontanella
CL,2019,269519,22,,REGULAR,5515,FC CFR 1907 Cluj,36746,Billel Omrani,36755,Ciprian Deac
CL,2019,278364,6,,REGULAR,734,NK Maribor,67822,Rok Kronaveter,15376,Dino Hotič
CL,2019,278364,28,,REGULAR,5277,AIK Fotboll,31153,Henok Goitom,3493,Sebastian Larsson
CL,2019,278364,38,,REGULAR,734,NK Maribor,79769,Saša Ivković,67822,Rok Kronaveter
CL,2019,278366,4,,REGULAR,611,Qarabağ Ağdam FK,15065,Mahir Emreli,32291,Jaime Romero
CL,2019,278366,78,,REGULAR,1873,Dundalk FC,16316,Patrick Hoban,15558,Dane Massey
CL,2019,278126,27,,REGULAR,7283,FK Crvena Zvezda,21845,Richmond Boakye Yiadom,15419,Mirko Ivanić
CL,2019,278126,90,,REGULAR,7283,FK Crvena Zvezda,67702,Milan Pavkov,15826,Marko Marin
CL,2019,278130,36,,REGULAR,732,Celtic FC,16068,Kristoffer Ajer,34495,Ryan Christie
CL,2019,278130,44,,PENALTY,732,Celtic FC,34495,Ryan Christie,,
CL,2019,278130,45,3,REGULAR,732,Celtic FC,15609,Leigh Griffiths,,
CL,2019,278130,65,,REGULAR,732,Celtic FC,34495,Ryan Christie,,
CL,2019,278130,77,,REGULAR,732,Celtic FC,15620,Callum McGregor,15717,Jules Ntcham
CL,2019,278131,10,,OWN,5106,Nõmme Kalju FC,14906,Aleksandr Kulinitš,,
CL,2019,278131,90,3,REGULAR,732,Celtic FC,29016,Marian Shved,,
