season,tie,game,hometeam,awayteam,pcthome,pctdraw,pctaway
2015,porto-bayern,2,Bayern Munich,FC Porto,0.7126536339057288,0.18011858168173395,0.10722778441253726
2015,psg-barcelona,1,Paris SG,Barcelona,0.21609757112752503,0.2681764871610283,0.5157259417114466
2015,psg-barcelona,2,Barcelona,Paris SG,0.6701514572186081,0.18891827074017847,0.14093027204121344
2015,barcelona-bayern,1,Barcelona,Bayern Munich,0.5571545248041109,0.24491454045822308,0.197930934737666
2015,barcelona-bayern,2,Bayern Munich,Barcelona,0.3814608141475312,0.25700542916040564,0.36153375669206317
2015,juventus-madrid,1,Juventus,Real Madrid,0.35682571446438627,0.3061722218748046,0.3370020636608092
2015,juventus-madrid,2,Real Madrid,Juventus,0.5857321113193065,0.23343321744127224,0.18083467123942132
2016,arsenal-barcelona,1,Arsenal,Barcelona,0.23505609521154897,0.2611028517079639,0.5038410530804871
2016,arsenal-barcelona,2,Barcelona,Arsenal,0.7799035357051921,0.1363795151612141,0.08371694913359376
2016,benfica-zenit,1,Benfica,Zenit Petersburg,0.4693636248469237,0.28271610151598325,0.24792027363709299
2016,benfica-zenit,2,Zenit Petersburg,Benfica,0.45873153779322323,0.2736750651607298,0.2675933970460469
2016,gent-wolfsburg,1,Gent,Wolfsburg,0.33,0.33,0.33
2016,gent-wolfsburg,2,Wolfsburg,Gent,0.6308381050981428,0.21531582149159492,0.1538460734102624
2016,juventus-bayern,1,Juventus,Bayern Munich,0.2626242478641002,0.30667198563877535,0.4307037664971244
2016,juventus-bayern,2,Bayern Munich,Juventus,0.6614115655771463,0.21423714458188706,0.1243512898409666
2016,kyiv-city,1,Dyn. Kyiv,Manchester City,0.2879749377460037,0.3071732669290706,0.40485179532492566
2016,kyiv-city,2,Manchester City,Dyn. Kyiv,0.6699915781170549,0.20845400714006238,0.12155441474288271
2016,psg-chelsea,1,Paris SG,Chelsea,0.5904754613917184,0.24909649679698093,0.16042804181130063
2016,psg-chelsea,2,Chelsea,Paris SG,0.33,0.33,0.33
2016,psv-atletico,1,PSV,Atl. Madrid,0.19938746498306645,0.2951178380789118,0.5054946969380218
2016,psv-atletico,2,Atl. Madrid,PSV,0.7361574113840738,0.18087615809540203,0.08296643052052434
2016,roma-madrid,1,AS Roma,Real Madrid,0.23069712973280893,0.254373940415913,0.514928929851278
2016,roma-madrid,2,Real Madrid,AS Roma,0.7115077197703386,0.1668009911146043,0.12169128911505722
