season,round,tie,winner,pk,agr,aet,result
2018,qtr,barcelona-roma,roma,False,True,False,"barcelona (4-4) roma, roma won on away goals"
2018,qtr,juventus-madrid,madrid,False,False,False,juventus (3-4) madrid
2018,qtr,liverpool-city,liverpool,False,False,False,liverpool (5-1) city
2018,qtr,sevilla-bayern,bayern,False,False,False,sevilla (1-2) bayern
2018,semi,bayern-madrid,madrid,False,False,False,bayern (3-4) madrid
2018,semi,liverpool-roma,liverpool,False,False,False,liverpool (7-6) roma
2019,first,ajax-madrid,ajax,False,False,False,ajax (5-3) madrid
2019,first,atletico-juventus,juventus,False,False,False,atletico (2-3) juventus
2019,first,liverpool-bayern,liverpool,False,False,False,liverpool (3-1) bayern
2019,first,lyon-barcelona,barcelona,False,False,False,lyon (1-5) barcelona
2019,first,roma-porto,porto,False,False,True,roma (3-4 aet) porto
2019,first,schalke-city,city,False,False,False,schalke (2-10) city
2019,first,tottenham-dortmund,tottenham,False,False,False,tottenham (4-0) dortmund
2019,first,united-psg,united,False,True,False,"united (3-3) psg, united won on away goals"
