tie,hometeam,awayteam,oddshome,oddsdraw,oddsaway,season
FC Copenhagen - Chelsea,FC Copenhagen,Chelsea,338,224,-108,2011
Lyon - Real Madrid,Lyon,Real Madrid,326,243,-114,2011
Arsenal - Barcelona,Arsenal,Barcelona,291,279,-116,2011
AS Roma - Shakhtar Donetsk,AS Roma,Shakhtar Donetsk,119,223,244,2011
AC Milan - Tottenham,AC Milan,Tottenham,-143,267,408,2011
Valencia - Schalke,Valencia,Schalke,-147,269,426,2011
Barcelona - Inter,Barcelona,Inter,-250,409,571,2010
Lyon - Bayern Munich,Lyon,Bayern Munich,139,238,192,2010
Bayern Munich - Lyon,Bayern Munich,Lyon,-152,268,442,2010
Inter - Barcelona,Inter,Barcelona,212,223,133,2010
Bordeaux - Lyon,Bordeaux,Lyon,106,238,262,2010
Manchester Utd - Bayern Munich,Manchester Utd,Bayern Munich,-137,287,354,2010
Barcelona - Arsenal,Barcelona,Arsenal,-294,423,727,2010
CSKA Moscow - Inter,CSKA Moscow,Inter,229,225,122,2010
Arsenal - Barcelona,Arsenal,Barcelona,198,236,131,2010
Inter - CSKA Moscow,Inter,CSKA Moscow,-244,326,767,2010
Bayern Munich - Manchester Utd,Bayern Munich,Manchester Utd,209,222,138,2010
Lyon - Bordeaux,Lyon,Bordeaux,106,217,285,2010
Barcelona - Stuttgart,Barcelona,Stuttgart,-455,528,1273,2010
Bordeaux - Olympiakos Piraeus,Bordeaux,Olympiakos Piraeus,-189,295,566,2010
Chelsea - Inter,Chelsea,Inter,-169,288,484,2010
Sevilla - CSKA Moscow,Sevilla,CSKA Moscow,-182,286,548,2010
Manchester Utd - AC Milan,Manchester Utd,AC Milan,-141,270,393,2010
Real Madrid - Lyon,Real Madrid,Lyon,-345,453,911,2010
Arsenal - FC Porto,Arsenal,FC Porto,-172,278,483,2010
Fiorentina - Bayern Munich,Fiorentina,Bayern Munich,186,234,141,2010
Inter - Chelsea,Inter,Chelsea,161,204,192,2010
CSKA Moscow - Sevilla,CSKA Moscow,Sevilla,162,215,179,2010
Olympiakos Piraeus - Bordeaux,Olympiakos Piraeus,Bordeaux,199,209,150,2010
Stuttgart - Barcelona,Stuttgart,Barcelona,482,282,-164,2010
Bayern Munich - Fiorentina,Bayern Munich,Fiorentina,-244,341,733,2010
FC Porto - Arsenal,FC Porto,Arsenal,133,218,222,2010
AC Milan - Manchester Utd,AC Milan,Manchester Utd,187,208,161,2010
Lyon - Real Madrid,Lyon,Real Madrid,293,231,-101,2010
Chelsea - Barcelona,Chelsea,Barcelona,172,235,154,2009
Arsenal - Manchester Utd,Arsenal,Manchester Utd,170,229,159,2009
Manchester Utd - Arsenal,Manchester Utd,Arsenal,-132,252,400,2009
Barcelona - Chelsea,Barcelona,Chelsea,-145,262,430,2009
Arsenal - Villarreal,Arsenal,Villarreal,-204,305,607,2009
FC Porto - Manchester Utd,FC Porto,Manchester Utd,245,239,110,2009
Bayern Munich - Barcelona,Bayern Munich,Barcelona,181,254,137,2009
