teamname,fbrefid,teamcountry,oddsnames
S.P. Tre Penne,aaffe678,San Marino,Tre Penne (San)
Sabail FK,6642b67e,Azerbaijan,Sabail (Aze)
Sarpsborg 08 FF,47b3e736,Norway,Sarpsborg 08 (Nor)
SC Braga,69d84c29,Portugal,Braga||Braga (Por)
SC Freiburg,a486e511,Germany,Freiburg (Ger)
SC Rheindorf Altach,80beba99,Austria,Altach (Aut)
Seinäjoen SJK,c889f292,Finland,SJK (Fin)
Sevilla FC,ad2be733,Spain,Sevilla||Sevilla (Esp)
Shamrock Rovers FC,f082c4f3,Ireland,Shamrock Rovers (Irl)
SK Brann,aeae4fe1,Norway,Brann (Nor)
SK Rapid Wien,912e4c40,Austria,Rapid Vienna||Rapid Vienna (Aut)
SK Sigma Olomouc,41c6978d,Czech Republic,Sigma Olomouc (Cze)
SK Slavia Prague,111cbfb1,Czech Republic,Slavia Prague||Slavia Prague (Cze)
ŠK Slovan Bratislava,ae7f2f70,Slovakia,Slovan Bratislava (Svk)
SK Sturm Graz,3f4fe568,Austria,Sturm Graz (Aut)
SKN St. Pölten,f722bd04,Austria,St. Polten (Aut)
Skonto FC,89873a40,Latvia,Skonto (Lat)
SL Benfica,a77c513e,Portugal,Benfica||Benfica (Por)
Sliema Wanderers FC,7465f27b,Malta,Sliema (Mlt)
Sligo Rovers FC,0baacc84,Ireland,Sligo Rovers (Irl)
SønderjyskE Fodbold,7700eac9,Denmark,Sonderjyske (Den)
Southampton FC,33c895d4,England,Southampton (Eng)
SP Zawisza Bydgoszcz,25a0a787,Poland,Zawisza (Pol)
Spartak Myjava,591295f1,Slovakia,Myjava (Svk)
Speranța Nisporeni,78b01d1b,Moldova,Speranta Nisporeni (Mda)
Sporting CP,13dc44fd,Portugal,Sporting||Sporting (Por)
Sporting Lokeren,bada91db,Belgium,Lokeren (Bel)
SS Folgore Falciano Calcio,c582b1da,San Marino,Folgore||Folgore (San)
SS Lazio,7213da33,Italy,Lazio||Lazio (Ita)
SSC Napoli,d48ad4ff,Italy,Napoli||Napoli (Ita)
St Johnstone FC,dd289621,Scotland,St Johnstone (Sco)
St Patrick's Athletic FC,8a814429,Ireland,St. Patricks (Irl)
St. Joseph's FC,bb780485,Gibraltar,St Josephs||St Josephs (Gib)
Stabæk Fotball,c2153ae4,Norway,Stabaek (Nor)
Stade Rennais FC,b3072e00,France,Rennes
Standard Liège,33c6b26e,Belgium,St. Liege (Bel)
Stjarnan,f13065a8,Iceland,Stjarnan (Ice)
Strømsgodset Toppfotball,90eb0dcc,Norway,Stromsgodset (Nor)
SV Grödig,d40080b0,Austria,Grodig (Aut)
SV Zulte Waregem,ecd34b98,Belgium,Waregem (Bel)
The New Saints FC,fd12ff13,Wales,TNS (Wal)
Torino FC,105360fe,Italy,Torino||Torino (Ita)
Tottenham Hotspur FC,361ca564,England,Tottenham||Tottenham (Eng)
Trabzonspor,c8ad3091,Turkey,Trabzonspor||Trabzonspor (Tur)
Tromsø IL,a3ee587a,Norway,Tromso (Nor)
TSG 1899 Hoffenheim,033ea6b8,Germany,Hoffenheim (Ger)
UC Sampdoria,8ff9e3b3,Italy,Sampdoria (Ita)
UE Engordany,b784c866,Andorra,UE Engordany||UE Engordany (And)
UE Sant Julià,78816dd0,Andorra,Sant Julia||Sant Julia (And)
UE Santa Coloma,84a33cca,Andorra,UE Santa Coloma (And)
Újpest FC,108607cf,Hungary,Ujpest (Hun)
Ulisses FC,3bc8afc5,Armenia,Ulisses Yerevan (Arm)
University College Dublin AFC,04dcef70,Ireland,UC Dublin (Irl)
US Sassuolo Calcio,e2befd26,Italy,Sassuolo (Ita)
Vaasan PS,8b63ce55,Finland,VPS (Fin)
Valencia CF,dcc91a7b,Spain,Valencia||Valencia (Esp)
Valletta FC,3f53cc7a,Malta,Valletta (Mlt)
Valur,b838366a,Iceland,Valur (Ice)
Vasas FC,bbb935cb,Hungary,Vasas (Hun)
VfL Wolfsburg,4eaa11d7,Germany,Wolfsburg
Víkingur Gøta,ea73b616,Faroe Islands,Vikingur (Fai)
Villarreal CF,2a8183b3,Spain,Villarreal||Villarreal (Esp)
Vitesse Arnhem,209d7fa2,Netherlands,Vitesse (Ned)
Vitória de Guimarães,3f319bc9,Portugal,Guimaraes (Por)
VMFD Žalgiris Vilnius,4c6489de,Lithuania,Zalgiris (Ltu)
West Ham United FC,7c21e445,England,West Ham (Eng)
WKS Śląsk Wrocław,c582b57f,Poland,Slask Wroclaw (Pol)
Wolfsberger AC,426658a6,Austria,Wolfsberger AC (Aut)
Wolverhampton Wanderers FC,8cec06e1,England,Wolves||Wolves (Eng)
Yeni Malatyaspor,4cc7a87b,Turkey,Yeni Malatyaspor (Tur)
Zira FK,ffb7956e,Azerbaijan,Zira (Aze)
