hometeam,awayteam,game,season,tie,homewin,draw,awaywin
APOEL,Real Madrid,1,2012,apoel-madrid,0.09207938819,0.1876094832,0.7203111286
Real Madrid,APOEL,2,2012,apoel-madrid,0.8819451142,0.08557957982,0.032475305950000005
Benfica,Chelsea,1,2012,benfica-chelsea,0.4208494208,0.2895752896,0.2895752896
Chelsea,Benfica,2,2012,benfica-chelsea,0.578362185,0.24780866199999999,0.17382915300000001
Marseille,Bayern Munich,1,2012,marseille-bayern,0.1958576725,0.2647908198,0.5393515077000001
Bayern Munich,Marseille,2,2012,marseille-bayern,0.6881212931,0.1946238464,0.1172548605
AC Milan,Barcelona,1,2012,milan-barcelona,0.1963232189,0.24565832829999998,0.5580184529
Barcelona,AC Milan,2,2012,milan-barcelona,0.7649552012,0.1500629265,0.08498187234999999
Barcelona,Chelsea,1,2012,barcelona-chelsea,0.7646020620999999,0.1436302834,0.09176765447999999
Chelsea,Barcelona,2,2012,barcelona-chelsea,0.1948272789,0.24567367469999998,0.5594990464999999
Bayern Munich,Real Madrid,1,2012,bayern-madrid,0.3627120821,0.2786820103,0.3586059076
Real Madrid,Bayern Munich,2,2012,bayern-madrid,0.6266258331,0.2099104525,0.1634637143
Arsenal,Bayern Munich,1,2013,arsenal-bayern,0.2333809946,0.2666280078,0.4999909975
Bayern Munich,Arsenal,2,2013,arsenal-bayern,0.7103645075,0.17495323100000001,0.11468226150000001
Celtic,Juventus,1,2013,celtic-juventus,0.20818322760000002,0.2745864985,0.517230274
Juventus,Celtic,2,2013,celtic-juventus,0.6666864576,0.2092333186,0.12408022380000001
Galatasaray,Schalke,1,2013,galatasaray-schalke,0.4106866308,0.286496961,0.3028164082
Schalke,Galatasaray,2,2013,galatasaray-schalke,0.566058145,0.233849162,0.20009269300000002
Real Madrid,Manchester Utd,1,2013,madrid-united,0.6211223348,0.2010218776,0.1778557876
Manchester Utd,Real Madrid,2,2013,madrid-united,0.3192942516,0.2674201155,0.413285633
AC Milan,Barcelona,1,2013,milan-barcelona,0.1577073738,0.2369514255,0.6053412006000001
Barcelona,AC Milan,2,2013,milan-barcelona,0.7465890928,0.15291483039999998,0.1004960768
FC Porto,Malaga,1,2013,porto-malaga,0.5774949471999999,0.25599621219999996,0.1665088406
Malaga,FC Porto,2,2013,porto-malaga,0.3423959525,0.2957537794,0.361850268
Shakhtar Donetsk,Dortmund,1,2013,shakhtar-dortmund,0.379941374,0.28411046370000004,0.33594816229999996
Dortmund,Shakhtar Donetsk,2,2013,shakhtar-dortmund,0.5730455972999999,0.2388129571,0.18814144559999998
Valencia,Paris SG,1,2013,valencia-psg,0.3863341801,0.2945201929,0.319145627
Paris SG,Valencia,2,2013,valencia-psg,0.49296412770000003,0.2745056234,0.23253024890000001
Bayern Munich,Juventus,1,2013,bayern-juventus,0.6020677193999999,0.24261286280000002,0.1553194178
Juventus,Bayern Munich,2,2013,bayern-juventus,0.3178928355,0.2863899419,0.3957172226
Real Madrid,Galatasaray,1,2013,madrid-galatasaray,0.8157070318,0.12283561359999999,0.061457354629999995
Galatasaray,Real Madrid,2,2013,madrid-galatasaray,0.1938076057,0.24831599489999998,0.5578763994
Malaga,Dortmund,1,2013,malaga-dortmund,0.2922621149,0.28108738699999997,0.4266504981
Dortmund,Malaga,2,2013,malaga-dortmund,0.7225974237,0.1814066848,0.09599589154999999
Paris SG,Barcelona,1,2013,psg-barcelona,0.2196550602,0.26602668399999996,0.5143182558
Barcelona,Paris SG,2,2013,psg-barcelona,0.6741589281,0.1934179762,0.1324230957
Bayern Munich,Barcelona,1,2013,bayern-barcelona,0.47395645159999994,0.26374436149999997,0.26229918690000004
Barcelona,Bayern Munich,2,2013,bayern-barcelona,0.46085238619999996,0.2414541469,0.29769346690000004
Dortmund,Real Madrid,1,2013,dortmund-madrid,0.3700670025,0.2722936183,0.3576393792
Real Madrid,Dortmund,2,2013,dortmund-madrid,0.6339516787,0.1880935978,0.17795472350000002
Arsenal,Bayern Munich,1,2014,arsenal-bayern,0.18457122210000002,0.2335207676,0.5819080104
Bayern Munich,Arsenal,2,2014,arsenal-bayern,0.7354582632,0.1544937965,0.1100479402
Manchester City,Barcelona,1,2014,city-barcelona,0.3248800548,0.270733379,0.4043865661
Barcelona,Manchester City,2,2014,city-barcelona,0.5818402022,0.20816887539999998,0.20999092239999997
Galatasaray,Chelsea,1,2014,galatasaray-chelsea,0.2720468758,0.2946476931,0.43330543109999997
Chelsea,Galatasaray,2,2014,galatasaray-chelsea,0.6797723837,0.2043427767,0.11588483949999999
Bayer Leverkusen,Paris SG,1,2014,leverkusen-psg,0.283287274,0.28412540210000004,0.4325873239
Paris SG,Bayer Leverkusen,2,2014,leverkusen-psg,0.6802137248000001,0.1985486214,0.12123765380000001
AC Milan,Atl. Madrid,1,2014,milan-atletico,0.24286497170000002,0.2926262961,0.4645087322
Atl. Madrid,AC Milan,2,2014,milan-atletico,0.6421634321999999,0.21597424850000002,0.14186231929999998
Olympiakos Piraeus,Manchester Utd,1,2014,olympiacos-united,0.2950218279,0.2986981124,0.4062800597
Manchester Utd,Olympiakos Piraeus,2,2014,olympiacos-united,0.6508011274000001,0.2083532816,0.140845591
