hometeam,awayteam,season,homewin,draw,awaywin
FC Porto ,Schalke,2008,0.5425012694,0.2870377087,0.1704610219
Real Madrid ,AS Roma,2008,0.540510447,0.2801506744,0.1793388787
AC Milan ,Arsenal,2008,0.4285663838,0.3170812096,0.2543524066
Barcelona ,Celtic,2008,0.8212564037,0.1463692432,0.03237435315
Manchester Utd ,Lyon,2008,0.6826058771,0.2061601396,0.1112339832
Sevilla ,Fenerbahce,2008,0.6913784064,0.2004425746,0.108179019
Arsenal ,AC Milan,2008,0.4524743313,0.3146344688,0.2328911999
Celtic ,Barcelona,2008,0.2340035321,0.3024045646,0.4635919033
Fenerbahce ,Sevilla,2008,0.3420997791,0.3094652607,0.3484349602
Lyon ,Manchester Utd,2008,0.2795396194,0.3149479712,0.4055124093
AS Roma ,Real Madrid,2008,0.3748332889,0.3042477994,0.3209189117
Liverpool ,Inter,2008,0.3793969849,0.3103015075,0.3103015075
Olympiakos Piraeus ,Chelsea,2008,0.215424906,0.2914572258,0.4931178682
Schalke ,FC Porto,2008,0.4233330416,0.3002553842,0.2764115742
Barcelona ,Lyon,2019,0.7836116665,0.1347473139,0.0816410196
Bayern Munich ,Liverpool,2019,0.4684862832,0.2737223228,0.257791394
Juventus ,Atl. Madrid,2019,0.5542576135,0.2682300169,0.1775123695
Manchester City ,Schalke,2019,0.8343410451,0.1151399472,0.05051900777
FC Porto ,AS Roma,2019,0.5430629958,0.2373280327,0.2196089715
Paris SG ,Manchester Utd,2019,0.6480031944,0.2072214204,0.1447753852
Dortmund ,Tottenham,2019,0.4738319659,0.2591467052,0.2670213289
Real Madrid ,Ajax,2019,0.5498858644,0.2386335962,0.2114805393
Atl. Madrid ,Juventus,2019,0.3348519362,0.3348519362,0.3302961276
Schalke ,Manchester City,2019,0.09003438238,0.1729692794,0.7369963382
Liverpool ,Bayern Munich,2019,0.4224713696,0.2780055851,0.2995230453
Lyon ,Barcelona,2019,0.2049985831,0.2481008492,0.5469005677
Ajax ,Real Madrid,2019,0.2913008779,0.2657621708,0.4429369513
Tottenham ,Dortmund,2019,0.4622222222,0.2888888889,0.2488888889
AS Roma ,FC Porto,2019,0.4607703281,0.2845934379,0.254636234
Manchester Utd ,Paris SG,2019,0.4125931688,0.2786189502,0.3087878811
