predset,minuteclean,loglik
training,49,-511.921104608567
training,50,-511.68004731761454
training,51,-512.0692844240064
training,52,-511.5568953048349
training,53,-511.2666498000265
training,54,-509.5669825237073
training,55,-509.3957861129113
training,56,-508.3776387392787
training,57,-503.8729938414506
training,58,-504.1869371842195
training,59,-504.3274549946098
training,60,-504.9581940346981
training,61,-503.48956719473216
training,62,-500.9492743610453
training,63,-498.61774235346144
training,64,-496.51774781752755
training,65,-493.84413478537084
training,66,-492.3546587755061
training,67,-489.19928912810747
training,68,-487.394308237529
training,69,-488.2833353231789
training,70,-487.36249465695494
training,71,-485.19809515383156
training,72,-479.47247163289194
training,73,-476.6450052435449
training,74,-473.02935194250415
training,75,-470.9204192709051
training,76,-471.9677327659526
training,77,-471.78501637157245
training,78,-471.07744517600133
training,79,-468.35262781921267
training,80,-465.36103197043207
training,81,-461.64359012852515
training,82,-461.1322117208008
training,83,-459.6966523287526
training,84,-460.68583631853977
training,85,-459.96734694327233
training,86,-459.34190914988443
training,87,-459.5916890398157
training,88,-459.24814801282855
training,89,-457.7251186430702
training,90,-440.5294007276289
training,91,-432.11489933253296
training,92,-430.5156117481857
training,93,-429.12091636380813
training,94,-429.62657061122655
training,95,-430.22576327495415
training,96,-426.28193295745604
training,97,-418.97296705088365
training,98,-416.55095636268646
training,99,-415.133339869304
training,100,-413.89327532243476
training,101,-410.51079746547606
training,102,-408.9753742445783
training,103,-409.8373730365412
training,104,-408.39637807955836
training,105,-404.92851100175955
training,106,-401.62932124730037
training,107,-399.6897443873014
training,108,-398.37221820823004
training,109,-394.5185939747511
training,110,-389.094600827704
training,111,-383.5996813860584
training,112,-382.0735042893504
training,113,-377.8414244403065
training,114,-374.163572345282
training,115,-371.4652294294042
training,116,-368.95883006456154
training,117,-361.0669759245895
training,118,-364.43706796873875
training,119,-366.1356988475054
training,120,-364.5063389643935
training,121,-363.5416627547912
training,122,-359.8532160411411
training,123,-358.6209656566478
training,124,-354.559183876948
training,125,-351.52989846324465
training,126,-348.7176933258157
training,127,-346.7455691718381
training,128,-344.80392992001157
training,129,-343.84606037997077
training,130,-340.8918900341892
training,131,-341.5101135642545
training,132,-342.00608089771595
training,133,-341.2024498739594
training,134,-339.8998521580531
training,135,-336.22212452860117
training,136,-334.23260682330545
training,137,-331.78308156257526
training,138,-327.3541466235993
training,139,-325.6643013244927
training,140,-322.4541144536913
training,141,-315.390407446287
training,142,-315.68368102822876
training,143,-314.47726654862765
training,144,-310.44168339982963
training,145,-305.87068043029694
training,146,-305.34696773404255
training,147,-306.9950467850888
training,148,-301.990073726532
training,149,-296.68231859282184
training,150,-290.30037092883754
training,151,-291.3877772215698
training,152,-289.0111258418365
training,153,-285.45862870543107
training,154,-277.72993658326936
training,155,-276.8942368214808
training,156,-271.5144048340792
training,157,-268.94167022124617
training,158,-261.04828678087364
training,159,-254.00501229134346
training,160,-249.22701285722192
training,161,-245.32948198110873
training,162,-240.1601186021098
training,163,-237.95263108162064
training,164,-233.51294874908746
training,165,-223.6086636319835
training,166,-217.9781514846953
training,167,-212.6171448843606
training,168,-212.2147803711179
training,169,-206.59119858107388
training,170,-203.7541390448805
training,171,-203.76248879293738
training,172,-198.8075914365939
training,173,-194.05214698044185
training,174,-189.54416696979553
training,175,-183.60113761765427
training,176,-181.24013470694797
training,177,-177.76069028192552
training,178,-171.49708081569793
training,179,-167.49846628678665
training,180,-127.85215490350755
training,181,-42.85980260975186
training,182,-42.20407359784591
training,183,-41.69590456071858
training,184,-39.73680227638217
training,185,-38.95815364817688
training,186,-38.92462680893242
training,187,-37.712916266908174
training,188,-38.138886296006554
training,189,-39.132485711291146
training,190,-39.11942888839703
training,191,-42.763559263012155
training,192,-40.61902626807004
training,193,-38.15864282330708
training,194,-37.977712131329206
training,195,-36.003911764685355
training,196,-35.98694350133663
training,197,-34.20743833764098
training,198,-33.048279539160355
training,199,-31.172018631570108
training,200,-31.054999400469555
training,201,-28.511974702327066
training,202,-27.016388235512984
training,203,-26.952016589686497
training,204,-26.302867262502094
training,205,-25.61310894244155
training,206,-24.85961454978712
training,207,-24.287583011071522
training,208,-23.689688331464666
training,209,-22.884223406415607
training,210,-20.789792644862835
